,speed,course,rot,collection_type,PC1,Pc2
5084,6.3,53.0,19.0,1,-0.7884811249934418,-2.243633748781738
5085,6.3,55.0,-12.0,1,-0.2408970743932164,-2.222097524683097
5086,6.3,53.0,18.0,1,-0.4793504096053254,-2.1311295482537784
5087,6.3,56.0,-7.0,1,-0.0378530891627293,-2.102689232562275
5088,6.3,52.0,-17.0,1,-0.152331015127335,-2.2451461839237328
5089,6.3,54.0,13.0,1,-0.6825425032676803,-2.2345729946085267
5090,6.3,55.0,7.0,1,-0.5766038815419189,-2.225512240435316
5091,6.3,56.0,8.0,1,-0.5943467150814685,-2.2177095394339728
5092,6.3,55.0,-16.0,1,-0.1702219570987527,-2.221378637156316
5093,6.3,54.0,21.0,1,-0.8238927378566078,-2.236010769662092
5094,6.3,53.0,-11.0,1,-0.2584177452849645,-2.2382420923308683
5095,6.3,55.0,16.0,1,-0.7356228954544624,-2.2271297373705767
5096,6.3,57.0,25.0,1,-0.8947900177988731,-2.212782388539761
5097,6.3,53.0,-16.0,1,0.1213880873976157,-2.1250190042761266
5098,6.3,57.0,20.0,1,-0.8064461211807937,-2.211883779131284
5099,6.3,57.0,-20.0,1,-0.099694948236157,-2.204694903863458
5100,6.3,54.0,18.0,1,-0.7708863998857599,-2.2354716040170044
5101,6.3,55.0,-5.0,1,-0.0731165935940272,-2.111031099208704
5111,6.8,61.0,8.0,3,7.108844479520208,-1.885861176537144
5112,6.8,54.0,20.0,1,-0.8077597534169232,-2.086687719538157
5113,6.8,54.0,-13.0,1,-0.2246900357375978,-2.0807568974422
5114,6.8,54.0,8.0,1,-0.5957344015335322,-2.084531056957809
5115,6.8,54.0,-8.0,1,-0.3130339323556774,-2.0816555068506783
5116,6.8,54.0,7.0,1,-0.5780656222099162,-2.0843513350761134
5117,6.8,54.0,0.0,1,-0.4543841669446049,-2.083093281904244
5118,6.8,55.0,0.0,1,-0.4544582211605388,-2.075110859021206
5119,6.8,55.0,11.0,1,-0.3573528576558132,-1.9647633210735944
5120,6.8,56.0,0.0,1,-0.4545322753764727,-2.067128436138169
5121,6.8,57.0,8.0,1,-0.595956564181334,-2.0605837883086964
5122,6.8,54.0,16.0,1,-0.7370846361224596,-2.0859688320113743
5123,6.8,56.0,-21.0,1,-0.0834879095805383,-2.06335427662256
5124,6.8,55.0,9.0,1,-0.613477235073082,-2.076728355956467
5125,6.8,55.0,17.0,1,-0.4633655335975087,-1.9658416523637685
5126,6.8,56.0,8.0,1,-0.5958825099654002,-2.068566211191734
5127,6.8,56.0,18.0,1,-0.7725703032015591,-2.070363430008689
10180,5.6,46.0,-16.0,1,-0.1674053563178433,-2.5020211026427885
10181,5.6,47.0,-15.0,1,-0.1851481898573931,-2.4942184016414464
10182,5.6,45.0,7.0,1,-0.5737132265450755,-2.514137128804826
10183,5.6,52.0,13.0,1,-0.6802442819983086,-2.4593384999137373
10184,5.6,45.0,11.0,1,-0.6443883438395391,-2.5148560163316085
10190,6.1,53.0,12.0,1,-0.664185351774558,-2.302033026906764
10191,6.1,58.0,9.0,1,-0.6115492848833798,-2.2615817468464887
10192,6.1,56.0,0.0,1,-0.4523821625389688,-2.275929095677304
10193,6.1,57.0,-11.0,1,-0.2580996441951277,-2.265969732095615
10194,6.1,53.0,-16.0,1,-0.1694595307133122,-2.297000814219286
10195,6.1,53.0,-7.0,1,-0.3284785446258556,-2.298618311154547
10196,6.1,48.0,8.0,1,-0.5931399634004245,-2.341226253795169
10197,6.1,52.0,-22.0,1,-0.0633728005556827,-2.303904905812149
10198,6.1,53.0,13.0,1,-0.3903921950336734,-2.1898882701421964
10199,6.1,55.0,11.0,1,-0.6466646808828098,-2.285888459258993
10200,6.1,53.0,14.0,1,-0.6995229104217898,-2.302392470670156
10201,6.1,52.0,-12.0,1,-0.240060593791842,-2.3057021246291063
10202,6.1,56.0,9.0,1,-0.6114011764515119,-2.277546592612565
